ingreso,edad_jefe,tamano_hogar,numero_dependientes,educacion,area_urbana,propietario,consumo_mensual
23973.71322408986,59,7,0,prepa,0,1,18431.018621246643
18893.88559063052,20,2,0,prepa,1,1,13130.202706586813
25181.50830480554,75,3,1,primaria,1,0,12868.509823931161
32184.238851264203,73,3,0,licenciatura,0,1,22423.800559589497
18126.77300221331,23,3,0,prepa,0,0,9335.810752258574
18126.904344406554,49,4,1,secundaria,0,1,9184.64690556016
32633.702524059132,31,7,0,prepa,0,1,27802.8556710727
26139.47783322327,75,4,0,secundaria,1,1,17995.77657422631
16244.204912520383,54,4,0,primaria,0,1,7439.390015507917
24340.480348687717,32,3,2,licenciatura,0,1,19860.866541417334
16292.658457500302,71,2,0,posgrado,1,1,11280.049905955218
16274.161971437945,50,3,1,prepa,0,1,9222.111935576417
21935.69817252827,57,1,0,secundaria,1,1,10250.09329640258
4693.758042737616,62,2,0,secundaria,1,0,545.078976415517
6200.657339895737,42,4,2,licenciatura,1,0,1022.9510315676198
15501.699766072219,23,6,3,secundaria,0,1,15295.10593527948
11897.35103732461,71,6,2,licenciatura,1,0,12720.19709413729
22513.97866076219,35,7,3,prepa,1,0,19761.955059452695
12735.807395830314,26,5,0,prepa,1,0,5769.018591382416
8701.570389317669,41,7,2,secundaria,1,1,8250.514315048606
31725.19015137243,48,2,0,primaria,1,1,24794.25027497483
18193.789596107716,30,4,0,prepa,1,1,12002.24753382041
20540.22563750339,75,2,0,posgrado,1,1,13829.70123929943
8602.014510292345,52,2,1,secundaria,0,1,8923.010288196176
15644.938203798538,77,6,1,prepa,0,1,12271.068800528165
20887.380717678927,48,3,0,prepa,1,1,15982.43158161527
10792.051380621577,78,1,0,prepa,1,1,5270.699163430198
23005.584146765377,58,5,2,prepa,1,0,12974.246482334052
15194.89048064956,31,4,0,prepa,1,1,12316.757246998657
17666.450001653786,26,2,0,licenciatura,1,1,11431.219471066892
15186.347102164826,78,5,0,secundaria,1,0,8765.59155712049
34818.2254760715,74,2,0,licenciatura,1,1,21729.570292797467
19892.02220209653,58,6,0,prepa,1,0,15999.397017960786
11538.312568352798,61,1,0,prepa,1,0,7524.945738877088
26580.35929682551,67,6,2,primaria,1,1,23677.1705719061
10233.250800231823,45,5,1,prepa,1,1,10196.622537144809
21670.908760038044,59,4,2,primaria,1,1,15263.106344306023
4322.639008961796,28,2,0,secundaria,1,0,2832.45145913002
9374.511608812556,60,1,0,primaria,1,0,7194.109013614818
21574.889886952988,53,6,4,licenciatura,1,1,18018.23005752289
25907.732639963284,64,5,0,prepa,1,1,22062.988240893337
21370.946249519766,32,6,3,licenciatura,0,1,17406.654755363845
19074.813740894075,74,2,0,prepa,1,1,13743.541169873242
17591.17043528569,74,2,0,licenciatura,1,0,13724.448406815765
8171.824077060581,55,4,1,licenciatura,1,0,2466.5735906188174
14241.246332842331,44,1,0,secundaria,0,1,11272.87049737725
16314.8898323217,43,3,0,secundaria,1,1,14216.19808501184
28456.977809751326,63,6,0,prepa,1,1,22006.528000936705
22748.946316547692,36,2,0,primaria,0,1,14135.520131785663
5895.678757098129,21,5,1,posgrado,1,0,3836.6182486952107
22592.67175515836,32,6,1,secundaria,0,0,14483.471017351874
16919.34175666947,50,4,0,prepa,1,1,14965.014962191277
14584.623997552331,48,4,1,licenciatura,1,1,8246.21379973846
24893.410310726944,69,2,0,secundaria,0,0,14105.58220013749
28247.99617996761,47,2,1,secundaria,1,0,14271.275500346952
27450.240952929587,79,2,0,primaria,1,1,15858.934022795278
13286.25981421889,46,7,2,prepa,1,1,8909.959903670495
17526.300993190285,34,3,0,primaria,1,1,12061.526690531113
22650.107451228512,50,2,1,licenciatura,1,1,16647.266452763244
27804.361016978874,59,6,2,prepa,1,1,24433.934578530818
16166.60609723768,34,6,1,prepa,0,1,12503.293066856757
18514.728186689463,52,7,5,secundaria,1,0,17669.928454628352
11149.320207951774,39,7,0,secundaria,1,0,7520.208639040571
10430.347007354634,61,1,0,prepa,0,1,7788.5696294849195
26500.206579153586,31,5,0,secundaria,0,1,22090.63967795108
30849.92022856658,56,2,0,licenciatura,1,0,18486.622064651005
19423.91902735733,28,6,1,secundaria,0,1,15998.37861287469
28028.263183136194,42,7,1,prepa,0,0,15382.96977878192
22893.088200381073,27,6,0,prepa,0,1,20118.473321381327
14839.041963159005,51,6,1,prepa,1,1,10242.53071613884
22891.164844067313,67,7,4,posgrado,1,1,22819.5540343269
32304.292531727755,33,3,2,secundaria,1,0,20438.162929405895
19713.391687120387,46,7,4,licenciatura,1,1,18946.472313886432
32517.14924651205,44,7,0,secundaria,1,0,23113.421888789555
957.9608327179558,32,5,2,secundaria,0,0,6994.706899016687
26575.220035001792,74,7,3,primaria,1,0,19057.124679967335
20696.37654590537,40,4,0,prepa,0,0,17968.785696557796
17607.94119627306,64,7,1,prepa,1,1,14490.444754681861
20734.08621228402,50,6,4,prepa,1,1,15935.264776400321
4099.448683192857,56,2,0,licenciatura,1,1,4178.895342639412
18242.624897299906,67,6,1,licenciatura,1,1,17236.916316292954
22856.90057209397,77,5,1,licenciatura,1,1,19416.529841454252
31823.15235793213,62,4,0,secundaria,1,0,21678.142208495192
15853.83825381082,73,7,3,secundaria,1,0,11614.245117749615
13532.0511768545,24,3,0,secundaria,1,0,10402.250043549928
15985.943651323709,32,1,0,secundaria,1,1,10958.075943008587
27323.216941616593,47,7,2,secundaria,1,0,20082.664729548465
22630.008877277476,62,2,0,secundaria,1,0,12982.850840106825
15761.91836986369,44,1,0,posgrado,1,1,13452.431131302097
24106.13946490685,70,3,1,licenciatura,0,1,13581.807606126642
20776.620394784324,54,5,2,licenciatura,1,1,18115.930859815777
27749.159924263113,66,5,0,licenciatura,1,1,23117.417491798864
14383.575248981182,58,3,0,prepa,1,1,14475.16108765281
17378.702827217854,26,6,3,secundaria,1,0,6342.980546807316
16863.13477494274,57,3,0,licenciatura,1,1,9000.218318728916
8291.88041494305,51,7,0,primaria,0,0,3904.4119097662547
22368.962216516607,22,2,1,primaria,0,0,11332.655031922843
22088.442177439116,64,4,2,primaria,1,1,17071.231484988668
20040.907653139686,58,7,0,primaria,1,1,13082.783157908845
18123.302932998824,56,7,3,licenciatura,1,0,13482.38158794044
8677.034063596686,74,7,4,licenciatura,1,1,5894.357274343865
16634.837417877126,69,1,0,secundaria,1,1,9549.619894024407
17258.283867785845,41,1,0,primaria,1,1,13274.763975066338
13581.781846227048,27,5,1,secundaria,1,0,10640.63925190973
18709.714306671925,36,7,1,prepa,1,1,14584.88872544644
23232.406854516306,71,6,2,secundaria,1,1,15060.903071379744
35089.487209684245,46,5,2,posgrado,0,1,28039.251690025765
21396.62250265471,52,2,0,primaria,0,0,10383.11715969426
22060.403125782115,65,3,0,posgrado,1,1,15428.98841769427
19404.432673870662,36,1,0,primaria,1,0,10270.680883232499
4649.830277607669,61,7,2,prepa,1,1,6053.576844356849
19787.888996406266,31,2,0,secundaria,0,0,10692.215656917826
20481.84167952821,67,5,1,prepa,0,0,12518.423907715372
39705.93689988229,65,5,4,primaria,1,1,26648.261621189034
18461.11228175102,46,1,0,licenciatura,1,0,9472.881629136247
22412.3787386689,67,5,0,primaria,0,0,15699.429541590716
19722.305842358055,27,6,2,prepa,1,0,14687.317248211277
10650.575699043744,42,5,1,primaria,1,1,7427.4702176830715
29142.582516120165,79,4,0,secundaria,0,0,14922.520453804613
26015.46426149419,61,3,0,primaria,1,1,15034.76163666259
26328.255576344374,68,5,1,posgrado,1,0,19983.749655647604
12724.900361642089,78,4,3,primaria,1,1,8178.498150180942
31222.354487488796,48,2,1,secundaria,0,0,17230.574289571774
8785.191497661754,69,5,1,secundaria,1,1,7185.375632668933
24694.856750402163,39,6,3,prepa,1,1,21259.280534550555
37523.64500647983,35,2,0,primaria,0,0,22238.566151540075
12075.709398954492,36,7,1,licenciatura,0,1,9429.11665469614
15469.618163177824,35,5,3,prepa,1,1,11799.673201913743
20797.21092070113,38,1,0,prepa,1,0,13170.01332771631
15972.194767070407,75,4,1,secundaria,1,1,6713.525513924562
7594.692551470938,75,4,1,prepa,1,1,5756.398867164292
20548.50379844822,27,1,0,secundaria,1,0,13284.170762717635
11501.57029019116,57,3,0,secundaria,1,1,6446.424848463474
23788.739445081454,57,7,0,secundaria,1,1,16732.959985236364
12644.606126129574,72,6,2,licenciatura,0,0,11662.031717090063
32399.475240140317,48,4,1,primaria,0,0,17966.600080171742
13733.973661310103,60,2,0,secundaria,1,0,7988.556320014969
17423.507870354595,55,6,0,prepa,1,0,13225.93305112151
26508.137738957357,45,4,0,secundaria,1,1,17321.575848608314
10153.085468528358,50,7,3,prepa,1,1,5307.995582486307
21819.679476833036,63,3,0,prepa,1,0,14261.273504473105
30457.142034259425,79,7,3,secundaria,0,0,18084.338208577057
7140.134123510179,31,2,0,secundaria,0,0,5458.169689120366
21477.070868258434,74,7,5,secundaria,0,0,14492.467577412814
22079.06235398739,36,6,2,prepa,0,0,19776.64018367058
26254.582974218483,34,2,0,posgrado,1,1,18955.432631215528
10104.394312975344,28,1,0,secundaria,0,0,4111.6844894035585
9436.34709532579,58,5,2,prepa,1,0,8101.250096513829
24175.53252493518,61,1,0,prepa,0,1,16545.221538499183
22375.87738586549,67,6,0,licenciatura,1,1,15425.937836996156
22003.94280276701,31,5,2,licenciatura,1,0,16958.510858257745
22771.585675975806,51,1,0,primaria,1,0,13128.393829721897
14559.802227372074,44,5,3,secundaria,1,0,11937.619381049491
21858.029577288027,58,4,3,licenciatura,1,0,12832.997832107418
22344.57978638945,37,7,3,prepa,0,1,19376.7514430032
14285.188655789058,34,2,0,primaria,1,0,9180.775355123666
34926.19608915805,51,5,2,secundaria,1,0,23341.326985187377
23790.6633672943,25,4,1,secundaria,1,1,22869.434375473793
10469.57202237881,77,7,1,licenciatura,1,0,5568.911894480256
25252.428869070638,63,7,1,prepa,1,1,20276.249912603285
12202.54663818143,62,3,0,prepa,1,1,6645.395937862169
26296.676829939617,71,1,0,secundaria,1,0,15195.371955232367
29268.764632059232,54,3,1,primaria,0,0,20166.76826363461
13434.541453186317,53,6,1,primaria,0,0,11662.632722630331
27707.009033954575,57,4,0,prepa,1,0,13079.466836464306
23302.247415491987,75,3,0,secundaria,0,1,17971.886621995276
26576.481279955922,73,3,0,primaria,1,1,16257.89541595237
35174.34386123158,76,7,3,secundaria,0,0,22776.31359179137
18036.895071977036,24,4,2,licenciatura,1,1,14276.254951264511
13970.110685140084,37,7,3,primaria,1,1,10630.211022903766
12883.884562995812,35,2,0,prepa,1,0,7249.534103761455
13473.517720276493,27,5,0,licenciatura,0,1,8881.472275214603
19383.186324687165,44,6,2,secundaria,1,0,14536.411326738606
22729.21579853315,51,6,2,secundaria,1,1,20232.038667184774
22213.526394640154,45,1,0,licenciatura,0,0,12878.764568607145
26617.46599228819,71,7,2,prepa,1,0,19532.642318263792
20104.015135023255,41,5,0,licenciatura,1,1,17252.695368986257
31628.272617258535,50,1,0,secundaria,0,0,19501.50975904839
17882.74533409635,62,6,4,posgrado,0,1,14363.451404640062
41761.35333271695,29,5,1,primaria,0,1,29209.931252491664
25005.33878212005,75,3,0,posgrado,1,0,17547.462382513804
13142.739548669739,76,2,0,licenciatura,1,0,6612.880707705511
11432.860015511102,31,3,0,prepa,0,0,2943.6278965147067
23859.779321945483,72,2,0,prepa,0,0,14665.073992071726
18212.297717393194,47,7,3,licenciatura,1,1,14837.72720344076
25712.003952736737,25,4,1,secundaria,0,0,15315.947380888316
23785.90099658836,78,1,0,prepa,0,0,8847.159458704637
19417.368698745016,39,1,0,licenciatura,1,0,10144.56730882368
13225.650255452761,24,4,2,primaria,1,1,8746.73689367652
7881.222202513083,42,5,0,licenciatura,1,0,8582.513924560162
16427.88038346383,28,4,0,licenciatura,1,0,15034.403799320797
26851.19035458778,77,7,2,licenciatura,1,1,22049.401351921126
21712.74995304163,78,6,0,primaria,1,1,17126.58599896443
10034.089770304096,48,4,0,secundaria,1,1,4928.56428018443
21385.447406809457,35,2,0,licenciatura,1,0,13797.596310301704
23082.539037830695,73,6,1,primaria,1,1,16308.609401719796
12929.140510390936,65,4,2,prepa,1,0,5329.340260020395
21229.800847564224,41,1,0,licenciatura,1,1,16233.916580435482
20465.669747567998,27,3,1,secundaria,1,1,14759.27686748181
10856.237617355015,78,2,0,prepa,1,0,7777.999866760218
22862.298882786265,39,7,0,primaria,1,1,17513.373325334935
24486.276210945874,70,2,0,prepa,1,0,9914.294035116209
28664.409945402214,33,5,0,secundaria,1,1,19046.985935523757
28430.416416279222,58,3,0,prepa,1,1,21561.34556294317
8978.645056343272,56,2,0,licenciatura,0,1,5335.850018943788
12497.399680679016,69,4,1,primaria,1,0,8980.021138008306
24120.282137669277,53,2,0,prepa,1,1,15177.22823710364
24110.287607297672,30,2,0,prepa,1,0,15089.540323548967
24120.381490448384,73,2,1,secundaria,1,1,15389.079511849186
50821.851925237774,59,5,1,prepa,1,1,36752.22610380044
24567.124085545336,52,2,0,licenciatura,0,0,15071.17975099815
29084.525121444793,50,2,0,posgrado,1,1,23439.623492390372
